rate,IR,totalAsset2023,totalDebt2023,totalEquity2023,revenue2023,operatingIncome2023,earningBeforeTax2023,margin2023,turnover2023,leverage2023,totalAsset2022,totalDebt2022,totalEquity2022,revenue2022,operatingIncome2022,earningBeforeTax2022,margin2022,turnover2022,leverage2022,totalAsset2021,totalDebt2021,totalEquity2021,revenue2021,operatingIncome2021,earningBeforeTax2021,margin2021,turnover2021,leverage2021
BBB,5,73425236000,52396520000,21028716000,90050038000,15806463000,14818863000,0.165,1.226,3.492,35187010000,25520220000,9666790000,34405568000,3198963000,1726103000,0.05,0.978,3.64,26016330000,17527785000,8488545000,24707280000,202669000,1174673000,0.048,0.95,3.065
BBB,7,1.54E+11,1.10E+11,43697000000,96719000000,5851000000,1186000000,0.012,0.629,3.517,1.46E+11,1.03E+11,42386000000,87157000000,3207000000,1403000000,0.016,0.599,3.435,1.18E+11,75904316000,41662398000,72057126000,7105376000,7328857000,0.102,0.613,2.822
BBB,11,11811000000,5518000000,6293000000,1.08E+11,596000000,454000000,0.004,9.129,1.877,11098094000,5046491000,6051603000,96498570000,707230000,126562000,0.001,8.695,1.834,10311000000,4673000000,5638000000,99749000000,276000000,141000000,0.001,9.674,1.829
BBB,5,1.26E+11,61267046128,65129834355,61919993102,12021728068,11438858555,0.185,0.49,1.941,1.08E+11,54313783532,53782774316,62314404181,13286629491,12065418530,0.194,0.576,2.01,93732842746,50002277549,43730565197,46510956665,4392605776,5213186448,0.112,0.496,2.143
BBB,11,14153006000,10139901000,4013105000,8405872000,430297000,14661000,0.002,0.594,3.527,14227845000,9358053000,4869792000,7821911000,527370000,475401000,0.061,0.55,2.922,11581000000,7170000000,4411000000,7222000000,1023000000,1435000000,0.199,0.624,2.625
BBB,11,22073000000,9302000000,12771000000,35199000000,377000000,199000000,0.006,1.595,1.728,24396804000,11743024000,12653780000,51100647000,4266116000,3793264000,0.074,2.095,1.928,23731000000,14019000000,9712000000,38094000000,3507000000,3306000000,0.087,1.605,2.443
BBB,10,12910000000,8472000000,4438000000,41388000000,137000000,76000000,0.002,3.206,2.909,12512814000,8149051000,4363763000,44915035000,346464000,172056000,0.004,3.59,2.867,12129875000,7899167000,4230708000,47316368000,193554000,290740000,0.006,3.901,2.867
BBB,12,18274719000,8664030000,9610689000,19307015000,521826000,311135000,0.016,1.056,1.901,16067344000,10521752000,5545592000,18896798000,867177000,393138000,0.021,1.176,2.897,14788983000,9523312000,5265671000,16790814000,-942155000,-956758000,-0.057,1.135,2.809
BBB,10,2.01E+11,81256972053,1.19E+11,1.37E+11,4641272604,5147311553,0.038,0.685,1.681,1.57E+11,45876629217,1.11E+11,1.43E+11,10891530920,18230921226,0.127,0.91,1.412,1.46E+11,50245109657,96119574157,62091186942,12347535639,8745987498,0.141,0.424,1.523
BBB,14,16326519000,8774024000,7552495000,16912826000,1102334000,899249000,0.053,1.036,2.162,12960852000,6309069000,6651783000,37987677000,1009515000,870967000,0.023,2.931,1.948,13839781000,8059914000,5779867000,13010466000,-1026388000,818535000,0.063,0.94,2.394
BBB,11,30288276000,22221283000,8066993000,49996078000,1522100000,600511000,0.012,1.651,3.755,29784162000,22281370000,7502792000,48880903000,2845428000,1044289000,0.021,1.641,3.97,29604000000,23110000000,6494000000,48415000000,2016000000,904000000,0.019,1.635,4.559
BBB,13,25274055000,17920808000,7353247000,20826322000,1106285000,514816000,0.025,0.824,3.437,22559000000,15663000000,6896000000,17261000000,869000000,478000000,0.028,0.765,3.271,17885916000,12517693000,5368223000,14937636000,622663000,759602000,0.051,0.835,3.332
BBB,10,33306469000,21656995000,11649474000,29404080000,2482981000,1389609000,0.047,0.883,2.859,30546912000,20132178000,10414734000,23582538000,2093146000,1901237000,0.081,0.772,2.933,26958000000,18284000000,8674000000,18374000000,2902000000,2746000000,0.149,0.682,3.108
BBB,9,21552586000,14863407000,6689179000,17785454000,2429571000,2287311000,0.129,0.825,3.222,0,0,0,0,0,0,0,0,0,13706000000,9309000000,4397000000,12062000000,1478000000,1145000000,0.095,0.88,3.117
BBB,8,16566459000,9641038000,6925421000,40829829000,2832812000,2903924000,0.071,2.465,2.392,19711599000,15822475000,3889124000,39716985000,1026035000,300192000,0.008,2.015,5.068,9263599000,5664476000,3599123000,21779263000,996192000,862333000,0.04,2.351,2.574
BBB,10,14708598000,11314701000,3393897000,10611493000,577870000,116480000,0.011,0.721,4.334,13915367000,10602809000,3312558000,12050288000,391155000,184074000,0.015,0.866,4.201,8919000000,5791000000,3128000000,10196000000,645000000,350000000,0.034,1.143,2.851
BBB,10,43122537000,23246153000,19876384000,28888031000,10574387000,9905152000,0.343,0.67,2.17,28507964000,17367984000,11139980000,19255130000,3775568000,3674832000,0.191,0.675,2.559,24438000000,16197000000,8241000000,18689000000,2389000000,2357000000,0.126,0.765,2.965
BBB,14,9087199000,2883489000,6203710000,11248157000,680715000,747937000,0.066,1.238,1.465,8145255000,2561950000,5583305000,11963009000,1360037000,1323644000,0.111,1.469,1.459,8381589000,3893732000,4487857000,11697028000,1184938000,1231452000,0.105,1.396,1.868
BBB,10,51493000000,40130000000,11363000000,93577000000,9134000000,8651000000,0.092,1.817,4.532,26947000000,23364000000,3583000000,25481000000,580000000,210000000,0.008,0.946,7.521,11823000000,8849000000,2974000000,17894000000,2515000000,2492000000,0.139,1.513,3.975
BBB,12,66154399000,39885435000,26268964000,85554670000,3400216000,3214950000,0.038,1.293,2.518,38012712000,24451094000,13561618000,62412701000,4385652000,4062432000,0.065,1.642,2.803,0,0,0,0,0,0,0,0,0
BBB,11,39791000000,27825000000,11966000000,49752000000,1660000000,73000000,0.001,1.25,3.325,34271000000,22343000000,11928000000,58011000000,2930000000,1452000000,0.025,1.693,2.873,33034251000,22462533000,10571718000,40754014000,506007000,122510000,0.003,1.234,3.125
BBB,13,31752087000,18309569000,13442518000,25727084000,3404816000,3393656000,0.132,0.81,2.362,34574816000,19951271000,14623545000,28612588000,3921926000,4657678000,0.163,0.828,2.364,35539122000,21032448000,14506674000,26198712000,4396387000,5068985000,0.193,0.737,2.45
